gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulate
LOC731414,0.025427537,7.314133929,1.93044213,0.054410012,0.098385699,-4.629056233,unchanged
LEAP-2,0.025424888,7.298790024,1.629061058,0.104255791,0.165996897,-5.14849862,unchanged
LOC100133811,0.02541876,7.288464274,1.687457625,0.092461772,0.150559383,-5.05459333,unchanged
LOC442117,0.025414719,7.337475739,1.731150766,0.084361015,0.139876206,-4.982207572,unchanged
LOC100132319,0.025411797,7.277713767,1.767637684,0.078047029,0.131249142,-4.920368941,unchanged
SKA1,0.025409943,7.594273349,1.279575071,0.201594931,0.283417907,-5.642298963,unchanged
DKFZP434A062,0.025408861,7.240610476,1.770600865,0.077551693,0.130507891,-4.915291349,unchanged
NEDD4,0.025405232,7.559626982,0.983193418,0.326233671,0.418078766,-5.968929926,unchanged
C3orf72,0.025404303,7.317956386,1.607110629,0.108987964,0.172032384,-5.182955206,unchanged
SHROOM1,0.02539377,7.357008246,1.42196598,0.155982052,0.229518117,-5.455252253,unchanged
ECSIT,-0.025389018,7.562539528,-0.617810456,0.537127072,0.623948122,-6.254394513,unchanged
LOC731797,0.025388935,7.265448919,1.729999467,0.084566812,0.140136103,-4.984138215,unchanged
BLOC1S2,0.025388345,7.375349538,1.7922965,0.074002842,0.125597413,-4.877860518,unchanged
FLJ42875,0.025384935,7.354027721,1.480807873,0.139613401,0.209783904,-5.372270426,unchanged
LOC285735,0.025384327,7.274895521,1.543416935,0.123689539,0.190436564,-5.28033292,unchanged
LOC401588,0.025384075,7.463607907,0.886365475,0.376067101,0.469984005,-6.05721333,unchanged
TLR8,0.025375843,10.79960746,0.159261955,0.873560075,0.906440799,-6.428532403,unchanged
LOC645312,0.025372335,7.266011284,1.53390432,0.126012839,0.19337885,-5.294543336,unchanged
CTF1,0.025370686,7.377129568,1.232642898,0.218587841,0.302317479,-5.699673866,unchanged
LOC727960,0.025366963,7.290932716,1.862787155,0.063381982,0.111174055,-4.753162779,unchanged
LRRC24,0.025365132,7.266213785,1.599757809,0.110610743,0.174051863,-5.194394419,unchanged
OR2T6,0.02535883,7.403715625,1.439904977,0.150843747,0.223527275,-5.430305642,unchanged
CLSPN,0.02535694,7.306957023,1.859381015,0.063864385,0.111839496,-4.759296504,unchanged
DRAP1,-0.025355724,11.00420102,-0.134800769,0.892851708,0.921226916,-6.432049703,unchanged
LOC100129785,0.025355408,7.257952918,1.753082829,0.080517772,0.134590289,-4.945188456,unchanged
CRABP2,0.02535273,7.459119655,1.463300268,0.144338546,0.215749227,-5.397307501,unchanged
GBF1,0.025347535,7.554760762,0.981554938,0.327039352,0.41892336,-5.970499448,unchanged
GPR103,0.025345199,7.291277015,1.683308082,0.093262676,0.151634158,-5.061373315,unchanged
SLC22A13,0.025344756,7.268945876,1.729047146,0.08473735,0.140359495,-4.985734233,unchanged
